FamilyID,MonthsInFII,TotalIncome,Mean,STD
1739,1,nan,3152.0,4814.0
1740,2,1016.0,3152.0,4814.0
1741,2,1022.0,3152.0,4814.0
1742,2,1287.4000000000001,3152.0,4814.0
1743,2,3950.0,3152.0,4814.0
1744,2,2397.0,3152.0,4814.0
1745,2,1695.0,3152.0,4814.0
1746,2,1622.5899999999999,3152.0,4814.0
1747,2,4200.0,3152.0,4814.0
1748,2,13444.0,3152.0,4814.0
1749,2,308.0,3152.0,4814.0
1750,2,1175.0,3152.0,4814.0
1751,2,50000.0,3152.0,4814.0
1752,2,1800.0,3152.0,4814.0
1754,2,1800.0,3152.0,4814.0
1755,2,550.0,3152.0,4814.0
1757,2,200.0,3152.0,4814.0
1758,2,953.0,3152.0,4814.0
1759,2,0.5,3152.0,4814.0
1760,2,600.0,3152.0,4814.0
1761,2,200.0,3152.0,4814.0
1766,1,1530.0,3152.0,4814.0
1767,2,6200.0,3152.0,4814.0
1768,2,811.0,3152.0,4814.0
1769,2,1334.71,3152.0,4814.0
1773,2,2500.0,3152.0,4814.0
1770,2,371.23000000000002,3152.0,4814.0
1771,2,2025.0,3152.0,4814.0
1776,2,100.0,3152.0,4814.0
1777,2,2441.0,3152.0,4814.0
1778,2,2200.0,3152.0,4814.0
1779,2,2200.0,3152.0,4814.0
1780,2,990.0,3152.0,4814.0
1781,2,1400.0,3152.0,4814.0
1782,2,400.0,3152.0,4814.0
1783,2,1000.0,3152.0,4814.0
1784,2,3158.5,3152.0,4814.0
1871,1,4000.0,3152.0,4814.0
1785,2,2475.0,3152.0,4814.0
1786,3,1176.0,3152.0,4814.0
1787,2,1600.0,3152.0,4814.0
1788,2,2200.0,3152.0,4814.0
1789,2,1800.0,3152.0,4814.0
1790,2,1150.0,3152.0,4814.0
1792,2,2600.0,3152.0,4814.0
1795,2,5400.0,3152.0,4814.0
1796,2,4400.0,3152.0,4814.0
1798,2,2000.0,3152.0,4814.0
1799,2,2300.0,3152.0,4814.0
1803,2,10000.0,3152.0,4814.0
1804,2,1300.0,3152.0,4814.0
1812,2,3490.0,3152.0,4814.0
1805,2,733.0,3152.0,4814.0
1806,2,3600.0,3152.0,4814.0
1807,2,6128.0,3152.0,4814.0
1808,2,800.0,3152.0,4814.0
1809,2,871.0,3152.0,4814.0
1810,2,4000.0,3152.0,4814.0
1811,2,nan,3152.0,4814.0
1813,2,1400.0,3152.0,4814.0
1814,2,1800.0,3152.0,4814.0
1815,2,1200.0,3152.0,4814.0
1817,2,2000.0,3152.0,4814.0
1819,2,1600.0,3152.0,4814.0
1822,2,972.0,3152.0,4814.0
1824,2,3000.0,3152.0,4814.0
1825,2,191.19,3152.0,4814.0
1829,2,1093.0,3152.0,4814.0
1830,2,500.0,3152.0,4814.0
1832,2,30000.0,3152.0,4814.0
1833,1,5961.0,3152.0,4814.0
1834,1,3875.0,3152.0,4814.0
1835,2,34000.0,3152.0,4814.0
1850,3,3200.0,3152.0,4814.0
1838,1,2000.0,3152.0,4814.0
1839,5,2220.0,3152.0,4814.0
